layer,expert,loss_fn,beta_global,num_score_tokens,gradient_signed,gradient_abs,gradient_at_global_zero,ratio_to_global_zero_pct,ratio_valid,first_order_signed,first_order_abs
0,19,l2,0.25,4096,-1.016574458390096e-06,1.016574458390096e-06,-1.3554326869780198e-06,74.99999580625291,True,2.54143614597524e-07,2.54143614597524e-07
0,20,l2,0.25,4096,-1.6515059542143717e-07,1.6515059542143717e-07,-2.20200789158298e-07,75.00000161339734,True,4.1287648855359294e-08,4.1287648855359294e-08
0,21,l2,0.25,4096,-1.591211173490592e-06,1.591211173490592e-06,-2.1216150116742938e-06,74.99999598112156,True,3.97802793372648e-07,3.97802793372648e-07
0,22,l2,0.25,4096,-1.4892884792061523e-07,1.4892884792061523e-07,-1.9857180433291433e-07,74.9999973163005,True,3.7232211980153807e-08,3.7232211980153807e-08
0,23,l2,0.25,4096,-3.404471158319211e-07,3.404471158319211e-07,-4.539294877758948e-07,75.0,True,8.511177895798028e-08,8.511177895798028e-08
0,24,l2,0.25,4096,-1.19838041712228e-07,1.19838041712228e-07,-1.5978405443206611e-07,75.00000055586173,True,2.9959510428057e-08,2.9959510428057e-08
0,25,l2,0.25,4096,-1.220913894428577e-07,1.220913894428577e-07,-1.6278852399409516e-07,74.9999978175896,True,3.052284736071442e-08,3.052284736071442e-08
0,26,l2,0.25,4096,-4.5154419581194816e-07,4.5154419581194816e-07,-6.020588614319422e-07,75.00000826131708,True,1.1288604895298704e-07,1.1288604895298704e-07
0,27,l2,0.25,4096,-4.2699929281297955e-07,4.2699929281297955e-07,-5.693323998912092e-07,74.99999875197207,True,1.0674982320324489e-07,1.0674982320324489e-07
0,28,l2,0.25,4096,-6.277885802319361e-07,6.277885802319361e-07,-8.370514592570544e-07,74.99999830227227,True,1.5694714505798402e-07,1.5694714505798402e-07
0,29,l2,0.25,4096,-1.9025391395643965e-07,1.9025391395643965e-07,-2.536719136969623e-07,74.99999159690887,True,4.756347848910991e-08,4.756347848910991e-08
0,30,l2,0.25,4096,-3.076991035300125e-07,3.076991035300125e-07,-4.1026549979505944e-07,74.99999480427137,True,7.692477588250313e-08,7.692477588250313e-08
0,31,l2,0.25,4096,-5.389060220295505e-07,5.389060220295505e-07,-7.185413721799705e-07,74.99999901113176,True,1.3472650550738763e-07,1.3472650550738763e-07
0,32,l2,0.25,4096,-2.7247541822816856e-07,2.7247541822816856e-07,-3.633005576375581e-07,75.0,True,6.811885455704214e-08,6.811885455704214e-08
0,33,l2,0.25,4096,-6.961421092910314e-07,6.961421092910314e-07,-9.281895074764179e-07,74.99999770345582,True,1.7403552732275784e-07,1.7403552732275784e-07
0,34,l2,0.25,4096,-1.0358625104345265e-06,1.0358625104345265e-06,-1.3811500707561208e-06,74.9999969132562,True,2.589656276086316e-07,2.589656276086316e-07
0,35,l2,0.25,4096,-1.8722177514973737e-06,1.8722177514973737e-06,-2.4962903353298316e-06,75.0,True,4.680544378743434e-07,4.680544378743434e-07
