layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,18,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,3.8744228094995126e-23,-6.5333922716348525e-09,6.206722658053109e-09,6.206722658053109e-09,5.5604544968446135e-08,5.5160889189664886e-08,5.55925818781157e-08,5.55925818790369e-08,5.637707029997562e-08,1.015319929465245e-07
0,19,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-2.5538581367903226e-23,-2.2945489952519438e-08,2.1798215454893466e-08,2.1798215454893466e-08,1.8540910673436883e-07,1.8482732855318318e-07,1.854147713277629e-07,1.854147713286841e-07,1.8913493857138727e-07,2.3428986121793614e-07
0,20,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-4.25852928167121e-23,-4.829524113958428e-09,4.588047908260506e-09,4.588047908260506e-09,3.281592952930623e-08,3.230913847573902e-08,3.2819597571491435e-08,3.2819597572412636e-08,3.421098109463519e-08,7.936590374118406e-08
0,21,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-5.471759961894219e-23,-4.36422311622664e-08,4.1460119604153076e-08,4.1460119604153076e-08,2.45963832412599e-07,2.479720535575325e-07,2.46422925594775e-07,2.464229255956962e-07,2.640091314082248e-07,3.091640540547737e-07
0,22,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-6.68629352478829e-24,-4.991880908633561e-09,4.742286863201883e-09,4.742286863201883e-09,4.0700605552501656e-08,4.145091736518225e-08,4.0700582754728744e-08,4.0700582755649945e-08,4.147444848387672e-08,8.662937113042559e-08
0,23,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,9.02159001695026e-23,-1.1076604966575587e-08,1.0522774718246807e-08,1.0522774718246807e-08,6.142444419765525e-08,6.149615217054816e-08,6.142159700314327e-08,6.142159700406447e-08,6.595509258899887e-08,1.1111001523554773e-07
0,24,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,7.40298880331096e-23,-3.867618891817415e-09,3.6742379472265437e-09,3.6742379472265437e-09,2.622040717881191e-08,2.567788826013384e-08,2.6220676327255106e-08,2.6220676328176308e-08,2.733829722810263e-08,7.24932198746515e-08
0,25,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,4.170676051467281e-25,-3.0009814633302767e-09,2.8509323901637626e-09,2.8509323901637626e-09,2.0781278919912438e-08,2.1182994913715447e-08,2.0779953836908197e-08,2.0779953837829398e-08,2.160438602789044e-08,6.67593086744393e-08
0,26,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,1.873647675134125e-23,-8.51664405665531e-09,8.090811853822544e-09,8.090811853822544e-09,4.5822922345450934e-08,4.541505660426992e-08,4.581858096179697e-08,4.581858096271817e-08,4.944577492518822e-08,9.460069757173709e-08
0,27,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-5.009141792586038e-23,-9.882422880025388e-09,9.388301736024117e-09,9.388301736024117e-09,5.584386641999117e-08,5.4984070629870985e-08,5.586618760855002e-08,5.5866187609471224e-08,5.982761495269403e-08,1.049825375992429e-07
0,28,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-8.619547687693096e-23,-1.950813466322643e-08,1.8532727930065106e-08,1.8532727930065106e-08,1.0281124929178986e-07,1.0321669918766929e-07,1.0282117197151253e-07,1.0282117197243373e-07,1.1133800338603391e-07,1.5649292603258278e-07
0,29,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.4182053396072418e-23,-5.534620761693532e-09,5.257889723608855e-09,5.257889723608855e-09,4.20315906524138e-08,4.220204274929529e-08,4.203100165945442e-08,4.203100166037562e-08,4.3190646149166756e-08,8.834556879571563e-08
0,30,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,5.260800885353843e-23,-8.897826031528666e-09,8.452934729952232e-09,8.452934729952232e-09,6.839911748102168e-08,6.735864133133873e-08,6.839451191867113e-08,6.839451191959233e-08,7.017983965077533e-08,1.153347622973242e-07
