baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,68,107,1.168976121516777e-07,8.606169340408391e-08,3.0835918747593787e-08,1.6112810086177376e-08,1.663169879595472e-08,1.1685467171673736e-07,8.602605561236487e-08,0.0003673337217926029,0.0004140958690147303
first_order_signed,68,107,1.168976121516777e-07,8.606169340408391e-08,3.0835918747593787e-08,1.6112810086177376e-08,1.663169879595472e-08,1.1685467171673736e-07,8.602605561236487e-08,0.0003673337217926029,0.0004140958690147303
first_order_abs,89,77,7.762380133093168e-08,4.702571686254087e-08,3.059808446839081e-08,7.940589452637424e-09,8.094830517002548e-09,7.762312037584707e-08,4.7028592575770745e-08,8.772503703012861e-06,6.115192753527157e-05
first_order_signed,89,77,7.762380133093168e-08,4.702571686254087e-08,3.059808446839081e-08,7.940589452637424e-09,8.094830517002548e-09,7.762312037584707e-08,4.7028592575770745e-08,8.772503703012861e-06,6.115192753527157e-05
first_order_abs,68,110,1.168976121516777e-07,8.632561303170921e-08,3.057199911996849e-08,1.6112810086177376e-08,1.8151225145146554e-08,1.1685467171673736e-07,8.62886224695103e-08,0.0003673337217926029,0.00042850042878143186
first_order_signed,68,110,1.168976121516777e-07,8.632561303170921e-08,3.057199911996849e-08,1.6112810086177376e-08,1.8151225145146554e-08,1.1685467171673736e-07,8.62886224695103e-08,0.0003673337217926029,0.00042850042878143186
first_order_abs,13,126,1.8799617258767294e-07,1.575821954278224e-07,3.041397715985054e-08,2.273276020758885e-08,2.668303333841493e-08,1.8807284618560516e-07,1.5761642657707853e-07,0.0004078465900493794,0.0002172272645598948
first_order_signed,13,126,1.8799617258767294e-07,1.575821954278224e-07,3.041397715985054e-08,2.273276020758885e-08,2.668303333841493e-08,1.8807284618560516e-07,1.5761642657707853e-07,0.0004078465900493794,0.0002172272645598948
first_order_abs,4,61,8.944808191514077e-08,6.004634727754968e-08,2.9401734637591096e-08,1.0925105109471644e-08,1.2295768159198417e-08,8.94635334702798e-08,6.004147223848122e-08,0.00017274328088650527,8.11879371433461e-05
first_order_signed,4,61,8.944808191514077e-08,6.004634727754968e-08,2.9401734637591096e-08,1.0925105109471644e-08,1.2295768159198417e-08,8.94635334702798e-08,6.004147223848122e-08,0.00017274328088650527,8.11879371433461e-05
first_order_abs,13,63,1.8799617258767294e-07,1.598408723434112e-07,2.815530024426173e-08,2.273276020758885e-08,2.801087424231241e-08,1.8807284618560516e-07,1.5976854683685815e-07,0.0004078465900493794,0.0004524844333786793
first_order_signed,13,63,1.8799617258767294e-07,1.598408723434112e-07,2.815530024426173e-08,2.273276020758885e-08,2.801087424231241e-08,1.8807284618560516e-07,1.5976854683685815e-07,0.0004078465900493794,0.0004524844333786793
first_order_abs,65,57,1.3287731754290939e-07,1.0492276568045554e-07,2.7954551862453844e-08,1.974236938373508e-08,2.2827513834755563e-08,1.3265648135529773e-07,1.0467472577602166e-07,0.0016619554916913726,0.0023640236971001296
first_order_signed,65,57,1.3287731754290939e-07,1.0492276568045554e-07,2.7954551862453844e-08,1.974236938373508e-08,2.2827513834755563e-08,1.3265648135529773e-07,1.0467472577602166e-07,0.0016619554916913726,0.0023640236971001296
first_order_abs,19,126,1.854147713277629e-07,1.575821954278224e-07,2.7832575899940506e-08,2.1798215454893466e-08,2.668303333841493e-08,1.8540910673436883e-07,1.5761642657707853e-07,3.0550928351109904e-05,0.0002172272645598948
first_order_signed,19,126,1.854147713277629e-07,1.575821954278224e-07,2.7832575899940506e-08,2.1798215454893466e-08,2.668303333841493e-08,1.8540910673436883e-07,1.5761642657707853e-07,3.0550928351109904e-05,0.0002172272645598948
first_order_abs,111,61,8.728085554749227e-08,6.004634727754968e-08,2.723450826994259e-08,1.0025267971336405e-08,1.2295768159198417e-08,8.728105171940115e-08,6.004147223848122e-08,2.247593789604378e-06,8.11879371433461e-05
first_order_signed,111,61,8.728085554749227e-08,6.004634727754968e-08,2.723450826994259e-08,1.0025267971336405e-08,1.2295768159198417e-08,8.728105171940115e-08,6.004147223848122e-08,2.247593789604378e-06,8.11879371433461e-05
