layer,expert,selection_group,background_beta,beta,measured_loss,measured_delta_loss,local_gradient_at_beta
0,109,medium,1.0,0.95,1.248614514399829e-10,1.248614505187801e-10,-4.994455515827667e-09
0,109,medium,1.0,1.0,9.212028045060322e-19,0.0,3.5280769000502103e-23
0,109,medium,1.0,1.05,1.248610675589278e-10,1.24861066637725e-10,4.994450186757149e-09
0,109,medium,1.0,1.25,3.121538249759197e-09,3.1215382488379947e-09,2.497232376441616e-08
0,109,medium,1.0,1.5,1.2486170532776888e-08,1.2486170531855685e-08,4.9944748781172166e-08
0,109,medium,0.95,0.0,9.525953107068401e-08,5.010460842413515e-08,-1.0018870710837291e-07
0,109,medium,0.95,0.25,7.333385656986195e-08,2.8178933923313084e-08,-7.521667022558631e-08
0,109,medium,0.95,0.5,5.765120456697984e-08,1.2496281920430971e-08,-5.024453031410303e-08
0,109,medium,0.95,0.75,4.821159805876403e-08,3.0566754122151627e-09,-2.52722980320641e-08
0,109,medium,0.95,0.9,4.5544506825964495e-08,3.8958417941562897e-10,-1.0288914165101914e-08
0,109,medium,0.95,0.95,4.515492264654887e-08,0.0,-5.294443106151903e-09
0,109,medium,0.95,1.0,4.501506286807339e-08,-1.3985977847547493e-10,-2.999684389770607e-10
0,109,medium,0.95,1.05,4.512492607723692e-08,-2.999656931193992e-11,4.694505006952454e-09
0,109,medium,0.95,1.25,4.8061620844164975e-08,2.906698197616109e-09,2.4672456078178584e-08
0,109,medium,0.95,1.5,5.7351300344424016e-08,1.2196377697875147e-08,4.9644985011809695e-08
