baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_signed,79,107,2.519509133831503e-07,1.866560763110639e-07,6.529483707208639e-08,3.6907157952015264e-08,4.281488434898506e-08,2.5195089392582304e-07,1.8665606660306366e-07,7.722665886699252e-08,5.201009480204305e-08
first_order_abs,79,110,2.519509133831503e-07,1.8698696004591304e-07,6.496395333723723e-08,3.6907157952015264e-08,4.9258698009424506e-08,2.5195089392582304e-07,1.869869379333977e-07,7.722665886699252e-08,1.1825699142521454e-07
first_order_signed,79,110,2.519509133831503e-07,1.8698696004591304e-07,6.496395333723723e-08,3.6907157952015264e-08,4.9258698009424506e-08,2.5195089392582304e-07,1.869869379333977e-07,7.722665886699252e-08,1.1825699142521454e-07
first_order_abs,85,26,1.910761721314109e-07,1.2649505103068067e-07,6.458112110073022e-08,2.7133622282349276e-08,2.8597835743937592e-08,1.9107613979940652e-07,1.2649502423300873e-07,1.692100276399687e-07,2.1184759177155848e-07
first_order_signed,85,26,1.910761721314109e-07,1.2649505103068067e-07,6.458112110073022e-08,2.7133622282349276e-08,2.8597835743937592e-08,1.9107613979940652e-07,1.2649502423300873e-07,1.692100276399687e-07,2.1184759177155848e-07
first_order_abs,112,59,1.8775121915562393e-07,1.2390988504654918e-07,6.384133410907475e-08,2.61056233075152e-08,2.8547320951588517e-08,1.877512261216907e-07,1.2390991344091162e-07,3.710264468653408e-08,2.2915332728812888e-07
first_order_signed,112,59,1.8775121915562393e-07,1.2390988504654918e-07,6.384133410907475e-08,2.61056233075152e-08,2.8547320951588517e-08,1.877512261216907e-07,1.2390991344091162e-07,3.710264468653408e-08,2.2915332728812888e-07
first_order_abs,68,50,2.369878887074237e-07,1.741873628227445e-07,6.28005258846792e-08,3.4448185814994754e-08,4.7874379394130526e-08,2.3698788709225482e-07,1.74187334778253e-07,6.815406842506316e-09,1.6100187211350373e-07
first_order_signed,68,50,2.369878887074237e-07,1.741873628227445e-07,6.28005258846792e-08,3.4448185814994754e-08,4.7874379394130526e-08,2.3698788709225482e-07,1.74187334778253e-07,6.815406842506316e-09,1.6100187211350373e-07
first_order_abs,81,110,2.497844250751869e-07,1.8698696004591304e-07,6.279746502927385e-08,4.650052858323761e-08,4.9258698009424506e-08,2.497844491244905e-07,1.869869379333977e-07,9.628023681332198e-08,1.1825699142521454e-07
first_order_signed,81,110,2.497844250751869e-07,1.8698696004591304e-07,6.279746502927385e-08,4.650052858323761e-08,4.9258698009424506e-08,2.497844491244905e-07,1.869869379333977e-07,9.628023681332198e-08,1.1825699142521454e-07
first_order_abs,4,49,1.7896841646260672e-07,1.1626997167262457e-07,6.269844478998215e-08,2.06474083608299e-08,2.5099755562862924e-08,1.7896843473863555e-07,1.1627000873204452e-07,1.0211873800997768e-07,3.187359505840401e-07
first_order_signed,4,49,1.7896841646260672e-07,1.1626997167262457e-07,6.269844478998215e-08,2.06474083608299e-08,2.5099755562862924e-08,1.7896843473863555e-07,1.1627000873204452e-07,1.0211873800997768e-07,3.187359505840401e-07
first_order_abs,112,27,1.8775121915562393e-07,1.2530861549373684e-07,6.24426036618871e-08,2.61056233075152e-08,2.7043274819504857e-08,1.877512261216907e-07,1.2530867365967424e-07,3.710264468653408e-08,4.641814704970573e-07
first_order_signed,112,27,1.8775121915562393e-07,1.2530861549373684e-07,6.24426036618871e-08,2.61056233075152e-08,2.7043274819504857e-08,1.877512261216907e-07,1.2530867365967424e-07,3.710264468653408e-08,4.641814704970573e-07
