layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,73,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-6.800628726821856e-09,6.460597290480762e-09,6.460597290480762e-09,3.487770072752028e-08,3.487770072752028e-08,3.487769152702379e-08,3.487769152702379e-08,3.7937711120961244e-08,1.4939942795857055e-07
0,74,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.201905108771939e-08,1.141809853333342e-08,1.141809853333342e-08,9.920240984229167e-08,9.920240984229167e-08,9.920240460487054e-08,9.920240460487054e-08,1.0094826813790901e-07,2.1240998497551835e-07
0,75,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-6.032894717122872e-08,5.731249981266728e-08,5.731249981266728e-08,2.8597813184205734e-07,2.8597813184205734e-07,2.859781145701995e-07,2.859781145701995e-07,3.154077248181165e-07,4.2686944165572584e-07
0,76,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.6497214422604998e-09,2.517235370147475e-09,2.517235370147475e-09,2.116323116752028e-08,2.116323116752028e-08,2.1163232488451955e-08,2.1163232488451955e-08,2.1617048086109187e-08,1.330787649237185e-07
0,77,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.918790015764671e-08,1.8228505149764374e-08,1.8228505149764374e-08,9.535607148336567e-08,9.535607148336567e-08,9.53560580840903e-08,9.53560580840903e-08,1.0428735669887417e-07,2.157490735364835e-07
0,78,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.257795372884175e-08,2.144905604239966e-08,2.144905604239966e-08,1.0625905133565539e-07,1.0625905133565539e-07,1.0625910043879313e-07,1.0625910043879313e-07,1.1734776160468758e-07,2.288094784422969e-07
0,79,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-3.8849639949489756e-08,3.6907157952015264e-08,3.6907157952015264e-08,2.5195089392582304e-07,2.5195089392582304e-07,2.519509133831503e-07,2.519509133831503e-07,2.642928425078432e-07,3.757545593454525e-07
0,80,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.0233668962532647e-08,1.9221985514406014e-08,1.9221985514406014e-08,1.0355950053053675e-07,1.0355950053053675e-07,1.0355948593994721e-07,1.0355948593994721e-07,1.1268443272983855e-07,2.2414614956744787e-07
0,81,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-4.894792482446064e-08,4.650052858323761e-08,4.650052858323761e-08,2.497844491244905e-07,2.4978442070278106e-07,2.497844250751869e-07,2.497844250751869e-07,2.719309756014559e-07,3.833926924390652e-07
0,82,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-7.782120547972227e-08,7.393014520573615e-08,7.393014520573615e-08,5.469287884807272e-07,5.469287884807272e-07,5.469287695676489e-07,5.469287695676489e-07,5.67533335654127e-07,6.789950524917363e-07
