layer,expert,selection_group,background_beta,beta,measured_loss,measured_delta_loss,local_gradient_at_beta
0,54,low,0.95,0.25,1.5081068271031283e-07,3.934896587270351e-08,-9.902040432052672e-08
0,54,low,0.95,0.5,1.2987770107596442e-07,1.8415984238355117e-08,-6.844357969271186e-08
0,54,low,0.95,0.75,1.1658890950001776e-07,5.12719266240845e-09,-3.786671243233286e-08
0,54,low,0.95,0.9,1.1228487242169702e-07,8.23155584087702e-10,-1.9520648208981584e-08
0,54,low,0.95,0.95,1.1146171683760932e-07,0.0,-1.3405257792697967e-08
0,54,low,0.95,1.0,1.1094434029598646e-07,-5.17376541622868e-10,-7.289886916339583e-09
0,54,low,0.95,1.05,1.1073272825814889e-07,-7.289885794604295e-10,-1.1745180383826437e-09
0,54,low,0.95,1.25,1.1294397277050888e-07,1.482255932899554e-09,2.3286946593259472e-08
0,54,low,0.95,1.5,1.225878145639861e-07,1.1126097726376768e-08,5.3863791649177983e-08
0,57,counterexample,1.0,0.0,2.3652235047802466e-07,2.3652235047802466e-07,-4.7304472161613376e-07
0,57,counterexample,1.0,0.25,1.330438255227634e-07,1.330438255227634e-07,-3.5478353765938664e-07
0,57,counterexample,1.0,0.5,5.9130582820498854e-08,5.9130582820498854e-08,-2.3652233238635745e-07
0,57,counterexample,1.0,0.75,1.478264808506779e-08,1.478264808506779e-08,-1.1826118395674712e-07
0,57,counterexample,1.0,0.9,2.3652239306635136e-09,2.3652239306635136e-09,-4.730447500378432e-08
0,57,counterexample,1.0,0.95,5.913061365945521e-10,5.913061365945521e-10,-2.3652239278249e-08
0,57,counterexample,1.0,1.0,0.0,0.0,0.0
0,57,counterexample,1.0,1.05,5.913047903905095e-10,5.913047903905095e-10,2.3652212632896408e-08
0,57,counterexample,1.0,1.25,1.4782644312894717e-08,1.4782644312894717e-08,1.1826116619317872e-07
0,57,counterexample,1.0,1.5,5.913058894794388e-08,5.913058894794388e-08,2.3652234659721216e-07
0,57,counterexample,0.95,0.0,3.848561650179126e-07,2.7339444818030333e-07,-5.124798860833835e-07
0,57,counterexample,0.95,0.25,2.7151884523124034e-07,1.60057128393631e-07,-3.9421868791578163e-07
0,57,counterexample,0.95,0.5,1.8774681601446792e-07,7.62850991768586e-08,-2.7595751816988923e-07
0,57,counterexample,0.95,0.75,1.3354009101165007e-07,2.2078374174040734e-08,-1.5769634131856947e-07
0,57,counterexample,0.95,0.9,1.1520739457467848e-07,3.745677737069157e-09,-8.673965723460242e-08
0,57,counterexample,0.95,0.95,1.1146171683760932e-07,0.0,-6.308740907456922e-08
0,57,counterexample,0.95,1.0,1.08898653275917e-07,-2.563063561692321e-09,-3.94351733490339e-08
0,57,counterexample,0.95,1.05,1.0751820167301499e-07,-3.943515164594324e-09,-1.5782961604315915e-08
0,57,counterexample,0.95,1.25,1.1382250545458411e-07,2.3607886169747976e-09,7.88260052786427e-08
0,57,counterexample,0.95,1.5,1.4831165473121414e-07,3.6849937893604816e-08,1.9708718923538981e-07
0,60,counterexample,1.0,0.0,4.179945675902392e-07,4.179945675902392e-07,-8.35989197867093e-07
0,60,counterexample,1.0,0.25,2.3512193518702758e-07,2.3512193518702758e-07,-6.269918912948924e-07
0,60,counterexample,1.0,0.5,1.0449864206411012e-07,1.0449864206411012e-07,-4.179945847226918e-07
0,60,counterexample,1.0,0.75,2.612465610568318e-08,2.612465610568318e-08,-2.0899727815049118e-07
0,60,counterexample,1.0,0.9,4.179945308336223e-09,4.179945308336223e-09,-8.35989197867093e-08
