baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low,truth_increase_percent,first_decrease_percent,balanced_display_score,both_differences_at_least_20_percent,both_full_curves_available
first_order_abs,109,32,9.983759457675815e-08,8.18308618724767e-08,1.8006732704281443e-08,1.1132776189803905e-08,1.725679319442008e-08,9.983759241549706e-08,8.183085498103537e-08,2.1647768060678226e-08,8.421567577073036e-08,22.004818588300722,35.487572549669046,0.22004818588300723,True,False
first_order_abs,40,59,1.686782990410953e-07,1.2390988504654918e-07,4.476841399454613e-08,2.228011162230814e-08,2.8547320951588517e-08,1.6867829799593892e-07,1.2390991344091162e-07,6.196152052625168e-09,2.2915332728812888e-07,36.12981642080291,21.953756501033904,0.21953756501033905,True,False
first_order_abs,4,45,1.7896841646260672e-07,1.254834684071946e-07,5.348494805541213e-08,2.06474083608299e-08,2.6444372291933857e-08,1.7896843473863555e-07,1.2548346717267123e-07,1.0211873800997768e-07,9.83813547951381e-09,42.62310305438255,21.9213519878941,0.219213519878941,True,False
first_order_abs,111,100,1.7751961480411947e-07,1.3696808983206857e-07,4.0551524972050906e-08,2.3435098750468342e-08,3.000378017148364e-08,1.7751960967871128e-07,1.3696808309759945e-07,2.887234856544041e-08,4.916816119571488e-08,29.606549249368676,21.89284611296526,0.21892846112965259,True,False
first_order_abs,51,77,1.1593506617239107e-07,9.53560580840903e-08,2.0579008088300767e-08,1.429185636503405e-08,1.8228505149764374e-08,1.1593508020268928e-07,9.535607148336567e-08,1.2101858972234887e-07,1.4051834391539347e-07,21.58122777071285,21.596114176050307,0.21581227770712852,True,False
first_order_abs,101,26,1.536263056847343e-07,1.2649505103068067e-07,2.7131254654053644e-08,1.940267622124736e-08,2.8597835743937592e-08,1.536263027901441e-07,1.2649502423300873e-07,1.884176143380153e-08,2.1184759177155848e-07,21.44847125084215,32.153340571023804,0.2144847125084215,True,False
first_order_abs,108,100,1.744410628610865e-07,1.3696808983206857e-07,3.7472973029017935e-08,2.357083679349614e-08,3.000378017148364e-08,1.7444106958919292e-07,1.3696808309759945e-07,3.856951058105276e-08,4.916816119571488e-08,27.35890751996479,21.44044297492065,0.21440442974920648,True,False
first_order_abs,109,58,9.983759457675815e-08,8.223306785716865e-08,1.76045267195895e-08,1.1132776189803905e-08,1.5333798630834394e-08,9.983759241549706e-08,8.22331216454586e-08,2.1647768060678226e-08,6.540956254022636e-07,21.408087012109235,27.397141061855002,0.21408087012109234,True,False
first_order_abs,18,69,1.1121424421692042e-07,8.45386329917001e-08,2.6675611225220315e-08,1.278802433946069e-08,1.6267421987237184e-08,1.1121424847715389e-07,8.453864097646147e-08,3.830654517715742e-08,9.445103476480743e-08,31.55434418704084,21.388746480581244,0.21388746480581244,True,False
first_order_abs,0,103,7.847932183537822e-08,6.467719250289398e-08,1.380212933248424e-08,8.978830945416404e-09,1.6147219428219726e-08,7.847932437243799e-08,6.467718094427255e-08,3.2327748326823853e-08,1.7871247938348766e-07,21.340025437663623,44.39394977364011,0.21340025437663623,True,False
first_order_abs,89,23,1.5566180091105214e-07,1.236929841197887e-07,3.196881679126343e-08,1.697718992055286e-08,2.15616520193862e-08,1.5566179456527607e-07,1.2369298474368406e-07,4.076643106433669e-08,5.043902502875613e-09,25.845295122238852,21.262109669108032,0.2126210966910803,True,False
