dual_bound,incumbent,layer_end,layer_start,layers,m,median_time_seconds,method,milp_binary_variables,mip_gap,mip_node_count,plan,plan_sha256,prune_ratio,relative_spread,relative_spread_percent,solver_message,solver_optimal,solver_reported_objective,solver_status,solver_success,spread,timing_repeats,warmup_runs
127.99999999935972,128.0,48,40,8,4,1.6382854350376874,milp_assignment,128,0.0,3292,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0009006980409817609,0.09006980409817608,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,127.99999999935972,0,True,128.0,1,0
,1024.0,12,0,12,4,0.003020174102857709,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.005078558958895413,0.5078558958895413,sort initialization with local refinement,,,0,,1024.0,5,1
,1024.0,12,0,12,4,0.008118781028315425,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.005078558958895413,0.5078558958895413,sort initialization with local refinement,,,0,,1024.0,5,1
0.0,128.0,12,0,12,4,300.0898076859303,milp_assignment,192,1.0,783304,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0006348198698619266,0.06348198698619266,Time limit reached. (HiGHS Status 13: Time limit reached),False,127.99999943340663,1,False,128.0,1,0
,640.0,24,12,12,4,0.004007547860965133,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0030446034404018876,0.30446034404018874,sort initialization with local refinement,,,0,,640.0,5,1
,1024.0,24,12,12,4,0.013512698002159595,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.00487136550464302,0.487136550464302,sort initialization with local refinement,,,0,,1024.0,5,1
0.0,128.0,24,12,12,4,300.0496318170335,milp_assignment,192,1.0,775058,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0006089206880803775,0.06089206880803775,Time limit reached. (HiGHS Status 13: Time limit reached),False,127.99999928928446,1,False,128.0,1,0
,1536.0,36,24,12,4,0.0021275419276207685,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.007582938388625593,0.7582938388625593,sort initialization with local refinement,,,0,,1536.0,5,1
,1536.0,36,24,12,4,0.0059218129608780146,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.007582938388625593,0.7582938388625593,sort initialization with local refinement,,,0,,1536.0,5,1
0.0,128.0,36,24,12,4,300.042420522077,milp_assignment,192,1.0,748645,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.000631911532385466,0.0631911532385466,Time limit reached. (HiGHS Status 13: Time limit reached),False,127.99999959149864,1,False,128.0,1,0
