layer,expert,beta_global,signed_residual,absolute_residual,signed_residual_over_abs_g0_pct,ratio_deviation_percentage_points
0,100,0.75,1.5240146922224085e-09,1.5240146922224085e-09,0.5570496310376629,-0.557049631037664
0,101,0.75,5.879652320572859e-11,5.879652320572859e-11,0.03071458439393818,-0.030714584393937372
0,102,0.75,1.3586998193204636e-10,1.3586998193204636e-10,0.018419856439557538,-0.018419856439557236
0,103,0.75,7.892175801771373e-10,7.892175801771373e-10,0.6435097961979027,-0.6435097961979039
0,104,0.75,1.8097239262715448e-09,1.8097239262715448e-09,0.25382845495352163,-0.2538284549535206
0,105,0.75,7.30295823814231e-11,7.30295823814231e-11,0.04655589642794245,-0.04655589642794311
0,106,0.75,1.5848414136598876e-08,1.5848414136598876e-08,1.0835135735400445,-1.0835135735400456
0,107,0.75,8.664251538448298e-10,8.664251538448298e-10,0.24445923344548176,-0.24445923344548248
0,108,0.75,-1.1542944378106768e-10,1.1542944378106768e-10,-0.060956235334800865,0.06095623533479966
0,109,0.75,-9.983125437429408e-13,9.983125437429408e-13,-0.0009428397528082197,0.0009428397528097321
0,110,0.75,2.57865906405641e-09,2.57865906405641e-09,0.6532530965234308,-0.6532530965234322
0,111,0.75,4.7982950945879566e-11,4.7982950945879566e-11,0.02270917078234657,-0.022709170782345467
0,112,0.75,2.5863755581667647e-12,2.5863755581667647e-12,0.0010668831384278528,-0.0010668831384279542
0,113,0.75,-1.98570049292357e-11,1.98570049292357e-11,-0.03150910946859662,0.03150910946859753
0,114,0.75,1.7283923625655007e-08,1.7283923625655007e-08,1.2756539812804064,-1.2756539812804064
0,115,0.75,3.6966980587749276e-09,3.6966980587749276e-09,0.27638003983037857,-0.2763800398303786
0,116,0.75,4.650857476917736e-11,4.650857476917736e-11,0.02476437241620823,-0.024764372416207436
0,117,0.75,-2.857269976175303e-12,2.857269976175303e-12,-0.0033423096042996337,0.003342309604299487
0,118,0.75,7.365530407810184e-11,7.365530407810184e-11,0.09219483507921172,-0.09219483507921211
0,119,0.75,-2.8848035071860068e-12,2.8848035071860068e-12,-0.0019595315705995455,0.0019595315705984717
0,120,0.75,1.2760139611600607e-09,1.2760139611600607e-09,0.20028481501544904,-0.2002848150154506
0,121,0.75,-2.807531984672096e-12,2.807531984672096e-12,-0.011417065511490314,0.011417065511491131
0,122,0.75,7.612044328197953e-11,7.612044328197953e-11,0.045096888853491265,-0.0450968888534895
0,123,0.75,5.240252676230739e-12,5.240252676230739e-12,0.008846793745010934,-0.008846793745011183
0,124,0.75,2.1307045017238124e-10,2.1307045017238124e-10,0.041514121501825776,-0.04151412150182665
0,125,0.75,6.206590796864475e-10,6.206590796864475e-10,0.05252670846321391,-0.0525267084632155
0,126,0.75,8.72084626735159e-10,8.72084626735159e-10,0.15406678571407054,-0.15406678571407184
0,127,0.75,1.3316796554363464e-09,1.3316796554363464e-09,0.6763324100958547,-0.6763324100958563
0,0,0.95,1.492539425385489e-11,1.492539425385489e-11,0.016321957644211196,-0.016321957644211516
0,1,0.95,4.5830290673623016e-10,4.5830290673623016e-10,0.08889714853896881,-0.0888971485389689
0,2,0.95,6.073157976516291e-10,6.073157976516291e-10,0.14068068422164887,-0.1406806842216488
0,3,0.95,4.808651254962785e-11,4.808651254962785e-11,0.01798130013336592,-0.017981300133365963
0,4,0.95,-6.929123941280601e-12,6.929123941280601e-12,-0.003014449885205863,0.0030144498852058277
